clip_name,subject,filename,onset,apex,offset,emotion,frame_folder,depth_folder,fold
spNO.1_a_355,spNO.1,a,355,359,360,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_a_355,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_a_355,4
spNO.1_b_166,spNO.1,b,166,175,179,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_b_166,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_b_166,4
spNO.1_e_62,spNO.1,e,62,68,96,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_e_62,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_e_62,4
spNO.1_e_96,spNO.1,e,96,102,106,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_e_96,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_e_96,4
spNO.1_f_1421,spNO.1,f,1421,1426,1440,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_f_1421,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_f_1421,4
spNO.1_f_1568,spNO.1,f,1568,1572,1581,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_f_1568,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_f_1568,4
spNO.1_h_181,spNO.1,h,181,185,194,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_h_181,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_h_181,4
spNO.1_j_28,spNO.1,j,28,33,49,happy,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_j_28,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_j_28,4
spNO.1_j_102,spNO.1,j,102,105,113,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_j_102,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_j_102,4
spNO.1_k_153,spNO.1,k,153,159,168,happy,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.1_k_153,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.1_k_153,4
spNO.10_a_116,spNO.10,a,116,121,125,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_a_116,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_a_116,2
spNO.10_d_162,spNO.10,d,162,164,165,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_d_162,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_d_162,2
spNO.10_d_691,spNO.10,d,691,696,703,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_d_691,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_d_691,2
spNO.10_f_278,spNO.10,f,278,279,280,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_f_278,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_f_278,2
spNO.10_f_280,spNO.10,f,280,281,285,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_f_280,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_f_280,2
spNO.10_i_2030,spNO.10,i,2030,2035,2098,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_i_2030,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_i_2030,2
spNO.10_i_2864,spNO.10,i,2864,2868,2874,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_i_2864,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_i_2864,2
spNO.10_j_1348,spNO.10,j,1348,1351,1356,happy,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_j_1348,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_j_1348,2
spNO.10_j_1565,spNO.10,j,1565,1573,1613,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_j_1565,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_j_1565,2
spNO.10_k_424,spNO.10,k,424,429,478,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_k_424,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_k_424,2
